WallclockTimeX	ReqMemX	PartitionX	SubmitDatetimeX	StateX	UIDX	UserX	PartitionTypeX	TotalCPUtime2useX	TotalGPUtime2useX	CPUhoursChargedX	GPUhoursChargedX	NeededMemX	memOverallocationFactorX
0 days 08:11:00	73.0	ash	2023-05-03	1	11111	uid_1	CPU	3 days 08:26:00	0 days	80.43333333333334	0.0	64.85643890690451	1.125562877492932
0 days 11:06:00	5.0	ash	2023-06-24	1	11111	uid_1	CPU	3 days 03:43:00	0 days	75.71666666666667	0.0	2.130688357709597	2.3466594642563288
0 days 08:49:00	108.0	ash	2023-06-11	0	11111	uid_1	CPU	2 days 01:26:00	0 days	49.43333333333333	0.0	66.91671049026793	1.6139466391688073
0 days 03:30:00	110.0	ash	2023-05-17	0	11111	uid_1	CPU	3 days 09:46:00	0 days	81.76666666666667	0.0	81.89425272017141	1.3431956009888084
0 days 10:10:00	113.0	ash	2023-05-23	0	11111	uid_1	CPU	1 days 14:54:00	0 days	38.9	0.0	43.3161429362079	2.6087271936103864
0 days 05:24:00	78.0	ash	2023-06-07	1	11111	uid_1	CPU	0 days 21:44:00	0 days	21.733333333333334	0.0	45.62265145798377	1.7096770465397915
0 days 05:28:00	119.0	ash	2023-06-05	0	11111	uid_1	CPU	1 days 08:38:00	0 days	32.63333333333333	0.0	82.61579313910435	1.440402560798923
0 days 09:58:00	54.0	ash	2023-06-24	1	11111	uid_1	CPU	3 days 01:48:00	0 days	73.8	0.0	46.58196151775445	1.1592470183853938
0 days 10:56:00	88.0	ash	2023-06-14	1	11111	uid_1	CPU	1 days 15:37:00	0 days	39.61666666666667	0.0	27.886558442920762	3.155642177220314
0 days 02:17:00	85.0	ash	2023-06-04	1	11111	uid_1	CPU	2 days 01:44:00	0 days	49.733333333333334	0.0	70.21498373896473	1.2105678229023151
0 days 09:25:00	34.0	ash	2023-06-01	1	11111	uid_1	CPU	2 days 10:26:00	0 days	58.43333333333333	0.0	13.58808723729553	2.5021917659374036
0 days 08:58:00	72.0	ash	2023-06-13	1	11111	uid_1	CPU	2 days 03:53:00	0 days	51.88333333333333	0.0	65.3664374197285	1.101482700329472
0 days 06:35:00	63.0	ash	2023-05-21	0	11111	uid_1	CPU	0 days 05:27:00	0 days	5.45	0.0	61.176093421567955	1.0298140413423165
0 days 07:28:00	4.0	ash	2023-05-11	1	11111	uid_1	CPU	2 days 19:13:00	0 days	67.21666666666667	0.0	3.996013981080034	1.0009974987422063
0 days 10:00:00	115.0	ash	2023-05-19	0	11111	uid_1	CPU	2 days 13:35:00	0 days	61.583333333333336	0.0	110.93610548328914	1.036632749085671
0 days 10:58:00	99.0	ash	2023-06-09	1	11111	uid_1	CPU	3 days 02:09:00	0 days	74.15	0.0	47.715747657339165	2.074786728921197
0 days 06:41:00	108.0	ash	2023-05-18	0	11111	uid_1	CPU	1 days 12:37:00	0 days	36.61666666666667	0.0	41.62269917732567	2.59473801878841
0 days 07:03:00	79.0	ash	2023-06-25	1	11111	uid_1	CPU	0 days 07:53:00	0 days	7.883333333333334	0.0	55.73368320792226	1.4174552165389736
0 days 09:56:00	70.0	ash	2023-06-06	1	11111	uid_1	CPU	0 days 14:15:00	0 days	14.25	0.0	2.2171531215477813	31.57201878376962
0 days 07:08:00	74.0	ash	2023-06-03	1	11111	uid_1	CPU	1 days 19:50:00	0 days	43.833333333333336	0.0	5.980842563846499	12.372838644394593
0 days 08:57:00	41.0	ash	2023-06-14	0	11111	uid_1	CPU	0 days 09:05:00	0 days	9.083333333333334	0.0	14.133778188273727	2.900852090208702
0 days 04:37:00	55.0	ash	2023-06-13	0	11111	uid_1	CPU	2 days 04:22:00	0 days	52.36666666666667	0.0	10.434593352165168	5.270928932615046
0 days 04:55:00	82.0	ash	2023-05-09	1	11111	uid_1	CPU	0 days 08:12:00	0 days	8.2	0.0	64.6659166369973	1.2680559445296002
0 days 06:11:00	11.0	ash	2023-06-10	1	11111	uid_1	CPU	0 days 06:24:00	0 days	6.4	0.0	9.495607471363446	1.1584303619514027
0 days 04:32:00	41.0	ash	2023-05-21	1	11111	uid_1	CPU	2 days 14:28:00	0 days	62.46666666666667	0.0	17.62971421814727	2.3256190935753436
0 days 01:40:00	23.0	ash	2023-06-19	1	11111	uid_1	CPU	3 days 00:39:00	0 days	72.65	0.0	13.780766038695013	1.6689928510083039
0 days 01:54:00	55.0	ash	2023-05-17	0	11111	uid_1	CPU	1 days 02:13:00	0 days	26.216666666666665	0.0	48.215907675209095	1.140702366747708
0 days 09:53:00	21.0	ash	2023-06-13	1	11111	uid_1	CPU	1 days 12:44:00	0 days	36.733333333333334	0.0	19.205634297679673	1.0934291299369954
0 days 05:35:00	105.0	ash	2023-05-25	1	11111	uid_1	CPU	1 days 13:32:00	0 days	37.53333333333333	0.0	75.93546497767362	1.3827531052963444
0 days 02:15:00	60.0	ash	2023-06-12	1	11111	uid_1	CPU	2 days 01:52:00	0 days	49.86666666666667	0.0	6.412693808804015	9.356442360872702
0 days 04:07:00	24.0	ash	2023-05-30	1	11111	uid_1	CPU	0 days 21:11:00	0 days	21.183333333333334	0.0	16.767053362837522	1.4313785183742287
0 days 09:54:00	72.0	ash	2023-05-17	1	11111	uid_1	CPU	0 days 11:46:00	0 days	11.766666666666667	0.0	46.74380710340769	1.5403109943680882
0 days 03:46:00	80.0	ash	2023-05-13	1	11111	uid_1	CPU	3 days 10:19:00	0 days	82.31666666666666	0.0	31.589129872162147	2.5325167335647265
0 days 06:14:00	60.0	ash	2023-06-03	1	11111	uid_1	CPU	0 days 19:32:00	0 days	19.533333333333335	0.0	49.585196830414	1.2100385565717446
0 days 11:16:00	26.0	ash	2023-06-14	1	11111	uid_1	CPU	1 days 18:15:00	0 days	42.25	0.0	5.266654090597887	4.936720648962992
0 days 06:46:00	123.0	ash	2023-06-27	1	11111	uid_1	CPU	1 days 11:04:00	0 days	35.06666666666667	0.0	95.15324920218937	1.2926516018243328
0 days 08:19:00	25.0	ash	2023-06-04	1	11111	uid_1	CPU	0 days 14:31:00	0 days	14.516666666666667	0.0	19.891522313835587	1.2568168290775412
0 days 06:34:00	46.0	ash	2023-05-29	1	11111	uid_1	CPU	1 days 10:07:00	0 days	34.11666666666667	0.0	28.493438385238274	1.6144067759765852
0 days 07:01:00	40.0	ash	2023-05-11	0	11111	uid_1	CPU	2 days 10:35:00	0 days	58.583333333333336	0.0	35.343309770032725	1.1317559181714114
0 days 05:31:00	69.0	ash	2023-05-02	1	11111	uid_1	CPU	0 days 19:28:00	0 days	19.466666666666665	0.0	44.54446100744255	1.5490141409157783
0 days 03:35:00	36.0	ash	2023-06-27	1	11111	uid_1	CPU	3 days 01:26:00	0 days	73.43333333333334	0.0	7.0785427152879326	5.085792577368891
0 days 02:04:00	42.0	ash	2023-06-19	1	11111	uid_1	CPU	1 days 02:01:00	0 days	26.016666666666666	0.0	35.51326817701141	1.1826565719228175
0 days 08:14:00	32.0	ash	2023-06-16	1	11111	uid_1	CPU	1 days 01:34:00	0 days	25.566666666666666	0.0	19.240791751610622	1.6631332230557154
0 days 10:50:00	10.0	ash	2023-06-18	0	11111	uid_1	CPU	0 days 06:12:00	0 days	6.2	0.0	5.851602023511175	1.7089337176077526
0 days 09:37:00	18.0	ash	2023-06-28	0	11111	uid_1	CPU	3 days 01:30:00	0 days	73.5	0.0	12.90928756485763	1.3943449558750698
0 days 03:31:00	126.0	ash	2023-05-25	1	11111	uid_1	CPU	0 days 10:08:00	0 days	10.133333333333333	0.0	107.48109398035143	1.172299195456961
0 days 05:41:00	59.0	ash	2023-06-26	1	11111	uid_1	CPU	2 days 18:30:00	0 days	66.5	0.0	27.518533864881643	2.1440095715017033
0 days 04:40:00	4.0	ash	2023-06-14	1	11111	uid_1	CPU	1 days 07:23:00	0 days	31.383333333333333	0.0	1.980259395364254	2.0199373927294153
0 days 03:26:00	61.0	ash	2023-06-18	1	11111	uid_1	CPU	2 days 14:51:00	0 days	62.85	0.0	60.9797110435689	1.000332716506587
0 days 11:23:00	108.0	ash	2023-05-15	0	11111	uid_1	CPU	0 days 12:47:00	0 days	12.783333333333333	0.0	80.63599505819072	1.3393522324870195
0 days 04:17:00	110.0	ash	2023-05-12	1	11111	uid_1	CPU	1 days 09:45:00	0 days	33.75	0.0	89.275404603306	1.2321422735498477
0 days 07:42:00	118.0	ash	2023-06-27	0	11111	uid_1	CPU	3 days 06:03:00	0 days	78.05	0.0	66.30457510581782	1.7796660307630299
0 days 01:04:00	73.0	ash	2023-06-22	1	11111	uid_1	CPU	0 days 12:03:00	0 days	12.05	0.0	51.36610827746769	1.421170543146292
0 days 02:13:00	56.0	ash	2023-05-20	1	11111	uid_1	CPU	2 days 03:04:00	0 days	51.06666666666667	0.0	46.22974752612771	1.2113412466367122
0 days 06:01:00	16.0	ash	2023-05-21	1	11111	uid_1	CPU	2 days 11:10:00	0 days	59.166666666666664	0.0	9.035028336229482	1.770885425543353
0 days 08:32:00	110.0	ash	2023-05-05	1	11111	uid_1	CPU	0 days 15:53:00	0 days	15.883333333333333	0.0	48.165135197991816	2.283809638399734
0 days 10:25:00	32.0	ash	2023-06-28	0	11111	uid_1	CPU	1 days 17:20:00	0 days	41.333333333333336	0.0	5.855091493583984	5.46532877155987
0 days 09:47:00	26.0	ash	2023-06-14	1	11111	uid_1	CPU	1 days 10:05:00	0 days	34.083333333333336	0.0	18.456771034888337	1.4086971090909075
0 days 08:04:00	61.0	ash	2023-06-08	0	11111	uid_1	CPU	3 days 04:56:00	0 days	76.93333333333334	0.0	24.36944869100523	2.5031341813865127
0 days 01:27:00	38.0	ash	2023-06-04	0	11111	uid_1	CPU	1 days 09:55:00	0 days	33.916666666666664	0.0	5.449305279478233	6.973365970723973
0 days 09:01:00	64.0	ash	2023-05-04	1	11111	uid_1	CPU	3 days 08:52:00	0 days	80.86666666666666	0.0	27.42999743131338	2.3332120303788013
0 days 08:06:00	81.0	ash	2023-06-27	0	11111	uid_1	CPU	0 days 16:21:00	0 days	16.35	0.0	15.51029452485445	5.222337968515148
0 days 01:33:00	54.0	ash	2023-06-23	1	11111	uid_1	CPU	2 days 22:42:00	0 days	70.7	0.0	38.963075051233865	1.3859275719124728
0 days 06:20:00	100.0	ash	2023-06-19	0	11111	uid_1	CPU	3 days 10:50:00	0 days	82.83333333333333	0.0	17.11839877604281	5.841667863232042
0 days 08:54:00	126.0	ash	2023-06-01	1	11111	uid_1	CPU	0 days 20:30:00	0 days	20.5	0.0	76.45169604620592	1.6480994734747028
0 days 04:40:00	63.0	ash	2023-06-27	1	11111	uid_1	CPU	0 days 20:00:00	0 days	20.0	0.0	45.71358718620849	1.3781460584875456
0 days 04:01:00	29.0	ash	2023-06-30	1	11111	uid_1	CPU	2 days 03:24:00	0 days	51.4	0.0	3.95412558160674	7.334112030962858
0 days 07:46:00	129.0	ash	2023-06-28	1	11111	uid_1	CPU	2 days 04:08:00	0 days	52.13333333333333	0.0	40.91399818862283	3.1529551183260236
0 days 10:47:00	109.0	ash	2023-06-10	1	11111	uid_1	CPU	1 days 09:08:00	0 days	33.13333333333333	0.0	38.774890424938135	2.8110975635380897
0 days 11:04:00	102.0	ash	2023-06-16	1	11111	uid_1	CPU	2 days 17:31:00	0 days	65.51666666666667	0.0	21.40987786771013	4.7641560886171135
0 days 07:04:00	121.0	ash	2023-05-12	1	11111	uid_1	CPU	1 days 18:12:00	0 days	42.2	0.0	5.131356567094561	23.580509056012012
0 days 05:18:00	61.0	ash	2023-06-20	1	11111	uid_1	CPU	2 days 04:49:00	0 days	52.81666666666667	0.0	45.2153329142026	1.3490998753840708
0 days 10:16:00	60.0	ash	2023-05-17	1	11111	uid_1	CPU	1 days 21:49:00	0 days	45.81666666666667	0.0	57.58401077416701	1.0419559039627861
0 days 10:51:00	112.0	ash	2023-05-17	1	11111	uid_1	CPU	0 days 21:29:00	0 days	21.483333333333334	0.0	95.34226209152783	1.1747151529977427
0 days 05:12:00	123.0	ash	2023-05-02	0	11111	uid_1	CPU	3 days 11:02:00	0 days	83.03333333333333	0.0	94.35297787759588	1.3036154530233048
0 days 10:21:00	100.0	ash	2023-05-19	1	11111	uid_1	CPU	0 days 11:33:00	0 days	11.55	0.0	80.12550576847813	1.2480420440521027
0 days 05:45:00	45.0	ash	2023-05-05	1	11111	uid_1	CPU	0 days 06:40:00	0 days	6.666666666666667	0.0	18.11511665020009	2.4841131784543578
0 days 07:24:00	91.0	ash	2023-05-16	1	11111	uid_1	CPU	2 days 04:42:00	0 days	52.7	0.0	37.283513541002606	2.440757089589279
0 days 09:19:00	41.0	ash	2023-06-25	1	11111	uid_1	CPU	3 days 02:56:00	0 days	74.93333333333334	0.0	8.235680710381075	4.9783377284551
0 days 01:42:00	48.0	ash	2023-06-24	1	11111	uid_1	CPU	0 days 01:40:00	0 days	1.6666666666666667	0.0	37.839601421106615	1.268512304498694
0 days 01:50:00	113.0	ash	2023-06-28	1	11111	uid_1	CPU	1 days 05:07:00	0 days	29.116666666666667	0.0	95.22353057567076	1.1866814779588843
0 days 06:41:00	23.0	ash	2023-06-01	1	11111	uid_1	CPU	2 days 19:30:00	0 days	67.5	0.0	21.990895819339816	1.04588736124941
0 days 09:24:00	91.0	ash	2023-05-16	0	11111	uid_1	CPU	1 days 17:31:00	0 days	41.516666666666666	0.0	34.19533615426327	2.661181618144574
0 days 01:49:00	48.0	ash	2023-06-12	1	11111	uid_1	CPU	2 days 12:54:00	0 days	60.9	0.0	16.150848016573576	2.9719801678985314
0 days 03:30:00	86.0	ash	2023-05-19	1	11111	uid_1	CPU	0 days 23:19:00	0 days	23.316666666666666	0.0	19.775138020270706	4.348895057614507
0 days 01:37:00	125.0	ash	2023-06-07	1	11111	uid_1	CPU	2 days 20:22:00	0 days	68.36666666666666	0.0	64.37778344480944	1.9416636192074166
0 days 05:36:00	35.0	ash	2023-05-11	0	11111	uid_1	CPU	3 days 04:42:00	0 days	76.7	0.0	11.890322862393324	2.9435701961212417
0 days 01:29:00	120.0	ash	2023-06-03	0	11111	uid_1	CPU	2 days 22:16:00	0 days	70.26666666666667	0.0	89.98829128817768	1.3335068183005399
0 days 03:01:00	93.0	ash	2023-05-03	0	11111	uid_1	CPU	2 days 00:34:00	0 days	48.56666666666667	0.0	30.57390032970856	3.0418101386178784
0 days 03:53:00	26.0	ash	2023-06-18	1	11111	uid_1	CPU	2 days 13:30:00	0 days	61.5	0.0	14.491803428406868	1.794117628523358
0 days 02:42:00	89.0	ash	2023-05-17	1	11111	uid_1	CPU	2 days 21:23:00	0 days	69.38333333333334	0.0	30.792066744675328	2.8903548676345405
0 days 08:45:00	60.0	ash	2023-06-08	0	11111	uid_1	CPU	1 days 06:39:00	0 days	30.65	0.0	27.98397880360679	2.14408395679126
0 days 02:23:00	6.0	ash	2023-06-25	1	11111	uid_1	CPU	0 days 21:32:00	0 days	21.533333333333335	0.0	4.98785635399639	1.202921570745047
0 days 10:49:00	95.0	ash	2023-06-22	1	11111	uid_1	CPU	1 days 01:05:00	0 days	25.083333333333332	0.0	55.71897338573172	1.7049847516452483
0 days 06:47:00	19.0	ash	2023-06-09	1	11111	uid_1	CPU	2 days 06:07:00	0 days	54.11666666666667	0.0	15.900129479466278	1.1949588224760654
0 days 00:54:00	77.0	ash	2023-05-25	1	11111	uid_1	CPU	2 days 22:04:00	0 days	70.06666666666666	0.0	66.7294047408087	1.1539140847889247
0 days 03:05:00	4.0	ash	2023-06-03	1	11111	uid_1	CPU	1 days 15:04:00	0 days	39.06666666666667	0.0	2.267545915295512	1.7640216116544263
0 days 08:49:00	121.0	ash	2023-05-31	1	11111	uid_1	CPU	0 days 15:11:00	0 days	15.183333333333334	0.0	74.32058328264182	1.6280819479017805
0 days 07:18:00	51.0	ash	2023-05-17	1	11111	uid_1	CPU	2 days 13:24:00	0 days	61.4	0.0	29.50221741010186	1.7286836203212672
0 days 00:53:00	10.0	ash	2023-06-02	1	11111	uid_1	CPU	3 days 03:05:00	0 days	75.08333333333333	0.0	1.0087956517530017	9.912810372073697
0 days 03:12:00	97.0	ash	2023-06-25	1	11111	uid_1	CPU	2 days 16:56:00	0 days	64.93333333333334	0.0	25.1508803187218	3.8567238510452926
0 days 01:21:00	105.0	ash	2023-05-20	1	11111	uid_1	CPU	1 days 18:23:00	0 days	42.38333333333333	0.0	2.6618836159403285	39.4457516366312
0 days 08:10:00	38.0	ash	2023-05-29	1	11111	uid_1	CPU	0 days 19:03:00	0 days	19.05	0.0	25.07563093280186	1.515415508460509
0 days 04:13:00	24.0	ash	2023-06-11	1	11111	uid_1	CPU	1 days 10:21:00	0 days	34.35	0.0	17.435878313137668	1.3764720978762721
0 days 09:03:00	110.0	ash	2023-06-10	1	11111	uid_1	CPU	1 days 18:16:00	0 days	42.266666666666666	0.0	63.475798295791435	1.7329439401046998
0 days 03:47:00	56.0	ash	2023-05-23	1	11111	uid_1	CPU	2 days 04:03:00	0 days	52.05	0.0	25.349710640847917	2.2090981941925185
0 days 04:01:00	46.0	ash	2023-05-13	1	11111	uid_1	CPU	3 days 00:50:00	0 days	72.83333333333333	0.0	29.524406591988534	1.5580330075958961
0 days 03:48:00	49.0	ash	2023-06-24	0	11111	uid_1	CPU	2 days 09:24:00	0 days	57.4	0.0	29.676496293451788	1.651138312133296
0 days 03:27:00	29.0	ash	2023-05-10	1	11111	uid_1	CPU	1 days 01:16:00	0 days	25.266666666666666	0.0	18.100989515474726	1.6021223577422437
0 days 02:01:00	91.0	ash	2023-05-31	1	11111	uid_1	CPU	2 days 19:01:00	0 days	67.01666666666667	0.0	57.42143443473192	1.5847740638286416
0 days 11:07:00	78.0	ash	2023-05-03	0	11111	uid_1	CPU	0 days 12:06:00	0 days	12.1	0.0	8.346181815628782	9.34559080104627
0 days 07:12:00	48.0	ash	2023-06-26	1	11111	uid_1	CPU	1 days 13:02:00	0 days	37.03333333333333	0.0	4.387567080013193	10.940003679637341
0 days 04:29:00	47.0	ash	2023-05-02	1	11111	uid_1	CPU	1 days 03:44:00	0 days	27.733333333333334	0.0	41.29667784836911	1.1381060765365205
0 days 07:01:00	61.0	ash	2023-06-16	1	11111	uid_1	CPU	3 days 04:12:00	0 days	76.2	0.0	59.82660340711583	1.0196132911791647
0 days 08:47:00	12.0	ash	2023-05-03	1	11111	uid_1	CPU	2 days 02:18:00	0 days	50.3	0.0	8.677430869195868	1.3828977932395827
0 days 03:37:00	72.0	ash	2023-06-24	1	11111	uid_1	CPU	3 days 08:39:00	0 days	80.65	0.0	69.79187122514864	1.0316387673247496
0 days 10:45:00	95.0	ash	2023-05-29	1	11111	uid_1	CPU	2 days 21:29:00	0 days	69.48333333333333	0.0	73.30807313404095	1.2959009279414042
0 days 05:02:00	69.0	ash	2023-06-08	1	11111	uid_1	CPU	0 days 08:53:00	0 days	8.883333333333333	0.0	53.19346901851791	1.2971517231933014
0 days 02:31:00	129.0	ash	2023-06-26	0	11111	uid_1	CPU	1 days 18:08:00	0 days	42.13333333333333	0.0	113.81874627061984	1.1333809607539045
0 days 08:11:00	59.0	ash	2023-06-01	1	11111	uid_1	CPU	2 days 03:44:00	0 days	51.733333333333334	0.0	52.498183267666164	1.123848413938132
0 days 10:09:00	105.0	ash	2023-05-25	1	11111	uid_1	CPU	1 days 12:39:00	0 days	36.65	0.0	2.2536390105910447	46.59131276417799
0 days 10:52:00	80.0	ash	2023-05-27	1	11111	uid_1	CPU	0 days 16:42:00	0 days	16.7	0.0	21.619597137006217	3.7003464723708555
0 days 04:57:00	115.0	ash	2023-06-15	1	11111	uid_1	CPU	1 days 18:11:00	0 days	42.18333333333333	0.0	29.18017351827341	3.9410320822110227
0 days 09:10:00	125.0	ash	2023-05-02	1	11111	uid_1	CPU	3 days 09:47:00	0 days	81.78333333333333	0.0	113.91577397006742	1.097301941984304
0 days 10:45:00	66.0	ash	2023-06-06	1	11111	uid_1	CPU	3 days 07:52:00	0 days	79.86666666666666	0.0	60.80321055065576	1.0854689974802356
0 days 01:50:00	27.0	ash	2023-05-16	0	11111	uid_1	CPU	0 days 03:13:00	0 days	3.216666666666667	0.0	26.925067888672974	1.0027829869041314
0 days 02:52:00	39.0	ash	2023-06-16	1	11111	uid_1	CPU	0 days 03:56:00	0 days	3.933333333333333	0.0	11.762498988853046	3.3156219640876556
0 days 06:58:00	17.0	ash	2023-06-11	1	11111	uid_1	CPU	0 days 15:37:00	0 days	15.616666666666667	0.0	15.688553315031141	1.0835925823518964
0 days 01:18:00	126.0	ash	2023-06-13	1	11111	uid_1	CPU	1 days 10:12:00	0 days	34.2	0.0	63.09277009671004	1.9970592479433749
0 days 09:41:00	46.0	ash	2023-06-13	1	11111	uid_1	CPU	1 days 13:42:00	0 days	37.7	0.0	24.911101024920118	1.8465663141096553
0 days 04:39:00	117.0	ash	2023-05-19	1	11111	uid_1	CPU	3 days 04:18:00	0 days	76.3	0.0	77.95940849920557	1.5007810122262828
0 days 09:57:00	35.0	ash	2023-05-12	1	11111	uid_1	CPU	2 days 04:24:00	0 days	52.4	0.0	17.027661013272315	2.0554790216177685
0 days 01:22:00	14.0	ash	2023-06-30	1	11111	uid_1	CPU	2 days 08:21:00	0 days	56.35	0.0	10.246730192607888	1.3662895125412557
0 days 08:51:00	48.0	ash	2023-06-29	1	11111	uid_1	CPU	3 days 06:50:00	0 days	78.83333333333333	0.0	24.59322777721497	1.9517568183738305
0 days 10:09:00	56.0	ash	2023-06-25	0	11111	uid_1	CPU	2 days 02:31:00	0 days	50.516666666666666	0.0	55.617669263281954	1.0068742675085534
